about n,Date,WorkoutLabel,SetID,Exercise,Weight_kg,Reps,NoteA,NoteB
W20251013,13/10/2025,,10,Pull-Up (Weighted),5,4,Working,Added weight (kg)
W20251017,17/10/2025,,1,Bench Press (Barbell),50,10,Working,
W20251017,17/10/2025,,2,Bench Press (Barbell),55,7,Working,
W20251017,17/10/2025,,3,Bench Press (Barbell),60,5,Working,
W20251017,17/10/2025,,4,Bench Press (Barbell),60,4,Working,
W20251017,17/10/2025,,5,Overhead Press (Seated Barbell),37.5,5,Working,
W20251017,17/10/2025,,6,Overhead Press (Seated Barbell),37.5,4,Working,
W20251017,17/10/2025,,7,Overhead Press (Seated Barbell),37.5,5,Working,
W20251017,17/10/2025,,8,Squat (Barbell),80,3,Working,Got nauseous
W20251020,20/10/2025,,1,Bench Press (Barbell),55,7,Working,
W20251020,20/10/2025,,2,Bench Press (Barbell),60,4,Working,
W20251020,20/10/2025,,3,Bench Press (Barbell),60,4,Working,
W20251020,20/10/2025,,4,Overhead Press (Seated Barbell),37.5,5,Working,
W20251020,20/10/2025,,5,Overhead Press (Seated Barbell),37.5,5,Working,
W20251020,20/10/2025,,6,Pull-Up (Weighted),5,6,Working,Added weight (kg)
W20251020,20/10/2025,,7,Pull-Up (Weighted),5,5,Working,Added weight (kg)
W20251020,20/10/2025,,8,Pull-Up (Weighted),5,4,Working,Added weight (kg)
W20251026,26/10/2025,,1,Bench Press (Barbell),55,8,Working,
W20251026,26/10/2025,,2,Bench Press (Barbell),60,5,Working,
W20251026,26/10/2025,,3,Bench Press (Barbell),60,4,Working,
W20251026,26/10/2025,,4,Bench Press (Barbell),65,2,Working,
W20251026,26/10/2025,,5,Overhead Press (Seated Barbell),37.5,5,Working,
W20251026,26/10/2025,,6,Overhead Press (Seated Barbell),37.5,5,Working,
W20251026,26/10/2025,,7,Overhead Press (Seated Barbell),37.5,5,Working,
W20251026,26/10/2025,,8,Lat Pulldown (Iso-Lateral),60,12,Working,
W20251026,26/10/2025,,9,Lat Pulldown (Iso-Lateral),80,4,Working,
W20251026,26/10/2025,,10,Lat Pulldown (Standard Bar),45,12,Working,
W20251026,26/10/2025,,11,Lat Pulldown (Standard Bar),50,5,Working,
W20251026,26/10/2025,,12,Lat Pulldown (Standard Bar),50,6,Working,
W20251026,26/10/2025,,13,Face Pull,27,5,Working,
W20251026,26/10/2025,,14,Face Pull,27,9,Working,
W20251029,29/10/2025,,1,Bench Press (Barbell),45,12,Working,
W20251029,29/10/2025,,2,Bench Press (Barbell),55,10,Working,
W20251029,29/10/2025,,3,Bench Press (Barbell),60,5,Working,
W20251029,29/10/2025,,4,Bench Press (Barbell),65,1,Ramp Single,
W20251029,29/10/2025,,5,Bench Press (Barbell),67.5,1,Ramp Single,
W20251029,29/10/2025,,6,Bench Press (Barbell),70,1,Ramp Single,
W20251029,29/10/2025,,7,Bench Press (Barbell),72.5,1,1RM Success,
W20251029,29/10/2025,,8,Overhead Press (Seated Barbell),37.5,8,Working,
W20251029,29/10/2025,,9,Overhead Press (Seated Barbell),37.5,9,Working,
W20251029,29/10/2025,,10,Pull-Up (Weighted),5,5,Working,Added weight (kg)
W20251029,29/10/2025,,11,Pull-Up (Weighted),5,5,Working,Added weight (kg)
W20251029,29/10/2025,,12,Squat (Barbell),90,2,Working,
W20251029,29/10/2025,,13,Squat (Barbell),85,5,Working,"Reps unclear (""5/"") interpreted as 5"
W20251104,04/11/2025,,1,Bench Press (Barbell),50,12,Working,
W20251104,04/11/2025,,2,Bench Press (Barbell),60,6,Working,
W20251104,04/11/2025,,3,Bench Press (Barbell),60,6,Working,
W20251107,07/11/2025,,1,Deadlift (Barbell),90,5,Warmup,
W20251107,07/11/2025,,2,Deadlift (Barbell),120,5,Working,
W20251107,07/11/2025,,3,Deadlift (Barbell),120,5,Working,
W20251107,07/11/2025,,4,Deadlift (Barbell),120,6,Working,
W20251107,07/11/2025,,5,Squat (Barbell),85,5,Warmup,
W20251107,07/11/2025,,6,Squat (Barbell),90,8,Working,
W20251107,07/11/2025,,7,Squat (Barbell),100,5,Working,
W20251107,07/11/2025,,8,Overhead Press (Seated Barbell),40,5,Working,
W20251107,07/11/2025,,9,Overhead Press (Seated Barbell),40,5,Working,
W20251107,07/11/2025,,10,Overhead Press (Seated Barbell),40,5,Working,
W20251107,07/11/2025,,11,Lat Pulldown (Standard Bar),55,8,Working,
W20251107,07/11/2025,,12,Lat Pulldown (Standard Bar),60,6,Working,
W20251107,07/11/2025,,13,Lat Pulldown (Standard Bar),65,4,Working,
W20251107,07/11/2025,,14,Lat Pulldown (Standard Bar),65,6,Working,
W20251107,07/11/2025,,15,Seated Row (Machine) – Wide Grip,60,6,Working,
W20251107,07/11/2025,,16,Seated Row (Machine) – Wide Grip,60,6,Working,
W20251109,09/11/2025,,1,Lat Pulldown (Standard Bar),50,12,Warmup,
W20251109,09/11/2025,,2,Lat Pulldown (Standard Bar),60,6,Working,
W20251109,09/11/2025,,3,Lat Pulldown (Standard Bar),65,7,Working,
W20251109,09/11/2025,,4,Lat Pulldown (Standard Bar),65,6,Working,
W20251109,09/11/2025,,5,Adductor Machine,45,12,Warmup,
W20251109,09/11/2025,,6,Adductor Machine,55,12,Working,
W20251109,09/11/2025,,7,Adductor Machine,65,12,Working,
W20251109,09/11/2025,,8,Adductor Machine,75,8,Working,
W20251109,09/11/2025,,9,Adductor Machine,75,8,Working,
W20251109,09/11/2025,,10,Leg Press,77,8,Warmup,
W20251109,09/11/2025,,11,Leg Press,93,12,Working,
W20251109,09/11/2025,,12,Leg Press,109,12,Working,
W20251109,09/11/2025,,13,Leg Press,133,8,Working,
W20251109,09/11/2025,,14,Leg Press,141,10,Working,
W20251109,09/11/2025,,15,Abductor Machine,60,12,Warmup,
W20251109,09/11/2025,,16,Abductor Machine,70,12,Working,
W20251109,09/11/2025,,17,Abductor Machine,80,12,Working,
W20251109,09/11/2025,,18,Bench Press (Barbell),50,12,Working,
W20251109,09/11/2025,,19,Bench Press (Barbell),60,6,Working,
W20251109,09/11/2025,,20,Bench Press (Barbell),65,3,Working,
W20251109,09/11/2025,,21,Bench Press (Barbell),65,3,Working,
W20251109,09/11/2025,,22,Bench Press (Barbell),60,4,Working,
W20251109,09/11/2025,,23,Overhead Press (Seated Barbell),40,4,Working,
W20251109,09/11/2025,,24,Overhead Press (Seated Barbell),40,3,Working,
W20251112,12/11/2025,,1,Adductor Machine,25,24,Working,
W20251112,12/11/2025,,2,Adductor Machine,40,16,Working,
W20251112,12/11/2025,,3,Abductor Machine,50,20,Warmup,
W20251112,12/11/2025,,4,Abductor Machine,60,22,Working,
W20251112,12/11/2025,,5,Abductor Machine,70,12,Working,
W20251112,12/11/2025,,6,Leg Press,117,16,Working,
W20251112,12/11/2025,,7,Leg Press,133,9,Working,
W20251112,12/11/2025,,8,Leg Press,133,6,Working,
W20251112,12/11/2025,,9,Lat Pulldown (Standard Bar),50,12,Warmup,
W20251112,12/11/2025,,10,Lat Pulldown (Standard Bar),60,6,Working,
W20251112,12/11/2025,,11,Lat Pulldown (Standard Bar),70,,Working,Reps missing
W20251112,12/11/2025,,12,Pull-Up (Weighted),5,5,Working,Added weight (kg)
W20251112,12/11/2025,,13,Pull-Up (Weighted),10,2,Working,Added weight (kg)
W20251112,12/11/2025,,14,Pull-Up (Bodyweight),0,4,Working,
W20251112,12/11/2025,,15,Tucked Lever,0,10,Hold seconds,
W20251112,12/11/2025,,16,Bench Press (Barbell),55,9,Working,
W20251112,12/11/2025,,17,Bench Press (Barbell),60,6,Working,
W20251112,12/11/2025,,18,Bench Press (Barbell),60,4,Working,
W20251112,12/11/2025,,19,Squat (Barbell),80,10,Working,
W20251112,12/11/2025,,20,Squat (Barbell),100,3,Working,
W20251112,12/11/2025,,21,Squat (Barbell),100,3,Working,
W20251112,12/11/2025,,22,T-Bar Row (Machine),30,5,Working,Plus bar
W20251114,14/11/2025,,1,Lat Pulldown (Standard Bar),45,12,Warmup,
W20251114,14/11/2025,,2,Lat Pulldown (Standard Bar),65,5,Working,
W20251114,14/11/2025,,3,Lat Pulldown (Standard Bar),60,6,Working,
W20251114,14/11/2025,,4,Lat Pulldown (Standard Bar),60,6,Working,
W20251114,14/11/2025,,5,Face Pull,25,12,Working,
W20251114,14/11/2025,,6,Face Pull,30,12,Working,
W20251114,14/11/2025,,7,Face Pull,35,8,Working,
W20251114,14/11/2025,,8,Biceps Curl (Barbell),20,11,Working,
W20251114,14/11/2025,,9,Biceps Curl (Barbell),25,5,Working,
W20251114,14/11/2025,,10,Biceps Curl (Barbell),15,10,Working,
W20251114,14/11/2025,,11,Bench Press (Barbell),60,8,Working,
W20251114,14/11/2025,,12,Bench Press (Barbell),65,3,Working,
W20251114,14/11/2025,,13,Bench Press (Barbell),65,4,Working,
W20251114,14/11/2025,,14,Overhead Press (Seated Barbell),40,4,Working,
W20251114,14/11/2025,,15,Overhead Press (Seated Barbell),40,3,Working,
W20251114,14/11/2025,,16,Overhead Press (Seated Barbell),35,4,Working,
W20251114,14/11/2025,,17,Inverted Row (Weighted),10,7,Working,Added weight (kg)
W20251114,14/11/2025,,18,T-Bar Row (Machine),20,9,Working,Plus bar
W20251114,14/11/2025,,19,T-Bar Row (Machine),20,11,Working,Plus bar
W20251114,14/11/2025,,20,Deadlift (Barbell),110,6,Working,
W20251114,14/11/2025,,21,Deadlift (Barbell),110,6,Working,
W20251114,14/11/2025,,22,Lateral Raise (Dumbbell),7,12,Working,
W20251114,14/11/2025,,23,Lateral Raise (Dumbbell),9,6,Working,
W20251115,15/11/2025,,1,Deadlift (Barbell),60,10,Warmup,
W20251115,15/11/2025,,2,Deadlift (Barbell),100,10,Working,
W20251115,15/11/2025,,3,Deadlift (Barbell),130,3,Working,
W20251115,15/11/2025,,4,Deadlift (Barbell),130,4,Working,
W20251115,15/11/2025,,5,Deadlift (Barbell),130,5,Working,
W20251115,15/11/2025,,6,Squat (Barbell),60,5,Warmup,
W20251115,15/11/2025,,7,Squat (Barbell),100,5,Working,
W20251115,15/11/2025,,8,Squat (Barbell),100,4,Working,
W20251115,15/11/2025,,9,Leg Curl (Machine),25,15,Working,
W20251115,15/11/2025,,10,Leg Curl (Machine),35,15,Working,
W20251115,15/11/2025,,11,Leg Press,125,12,Working,
W20251115,15/11/2025,,12,Leg Press,133,10,Working,
W20251115,15/11/2025,,13,Adductor Machine,60,12,Working,
W20251115,15/11/2025,,14,Adductor Machine,65,10,Working,
W20251115,15/11/2025,,15,Abductor Machine,70,17,Working,
W20251115,15/11/2025,,16,Abductor Machine,80,12,Working,
W20251122,22/11/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251122,22/11/2025,,2,Bench Press (Barbell),30,12,Warmup,
W20251122,22/11/2025,,3,Bench Press (Barbell),40,12,Warmup,
W20251122,22/11/2025,,4,Bench Press (Barbell),60,6,Working,
W20251122,22/11/2025,,5,Bench Press (Barbell),65,3,Working,
W20251122,22/11/2025,,6,Bench Press (Barbell),65,3,Working,
W20251122,22/11/2025,,7,Bench Press (Barbell),65,1,Working,
W20251122,22/11/2025,,8,Bench Press (Barbell),55,10,Backoff,
W20251122,22/11/2025,,9,Overhead Press (Seated Barbell),35,7,Working,
W20251122,22/11/2025,,10,Overhead Press (Seated Barbell),35,6,Working,
W20251122,22/11/2025,,11,Overhead Press (Seated Barbell),35,7,Working,
W20251122,22/11/2025,,12,Lat Pulldown (Standard Bar),55,11,Working,
W20251122,22/11/2025,,13,Lat Pulldown (Standard Bar),65,6,Working,
W20251122,22/11/2025,,14,Lat Pulldown (Standard Bar),65,9,Working,
W20251122,22/11/2025,,15,Biceps Curl (Dumbbell),22.5,14,Working,
W20251122,22/11/2025,,16,Biceps Curl (Dumbbell),22.5,8,Working,
W20251122,22/11/2025,,17,Seated Row (Machine) – Wide Grip,45,7,Working,
W20251122,22/11/2025,,18,Seated Row (Machine) – Wide Grip,45,8,Working,
W20251122,22/11/2025,,19,Seated Row (Machine) – Wide Grip,45,9,Working,
W20251122,22/11/2025,,20,Face Pull,30,10,Working,
W20251122,22/11/2025,,21,Face Pull,30,10,Working,
W20251122,22/11/2025,,22,Lateral Raise (Dumbbell),8,8,Working,
W20251130,30/11/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251130,30/11/2025,,2,Bench Press (Barbell),30,12,Warmup,
W20251130,30/11/2025,,3,Bench Press (Barbell),50,12,Working,
W20251130,30/11/2025,,4,Bench Press (Barbell),60,6,Working,
W20251130,30/11/2025,,5,Bench Press (Barbell),60,4,Working,
W20251130,30/11/2025,,6,Bench Press (Barbell),60,4,Working,
W20251130,30/11/2025,,7,Overhead Press (Seated Barbell),30,8,Working,
W20251130,30/11/2025,,8,Overhead Press (Seated Barbell),30,10,Working,
W20251130,30/11/2025,,9,Overhead Press (Seated Barbell),30,10,Working,
W20251130,30/11/2025,,10,Seated Row (Machine) – Wide Grip,45,8,Working,
W20251130,30/11/2025,,11,Seated Row (Machine) – Wide Grip,45,8,Working,
W20251130,30/11/2025,,12,Seated Row (Machine) – Wide Grip,45,8,Working,
W20251130,30/11/2025,,13,Pull-Up (Bodyweight),0,6,Working,
W20251130,30/11/2025,,14,Pull-Up (Weighted),10,3,Working,Added weight (kg)
W20251130,30/11/2025,,15,Pull-Up (Weighted),10,3,Working,Added weight (kg)
W20251130,30/11/2025,,16,Deadlift (Barbell),60,10,Warmup,
W20251130,30/11/2025,,17,Deadlift (Barbell),100,10,Working,
W20251130,30/11/2025,,18,Deadlift (Barbell),120,5,Working,
W20251130,30/11/2025,,19,Deadlift (Barbell),140,1,1RM Success,
W20251130,30/11/2025,,20,Deadlift (Barbell),145,1,1RM Success,
W20251130,30/11/2025,,21,Deadlift (Barbell),150,1,1RM Success,
W20251206,06/12/2025,Slightly sick + sleep deprived,1,Bench Press (Barbell),50,10,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,2,Bench Press (Barbell),55,6,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,3,Bench Press (Barbell),55,6,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,4,Overhead Press (Seated Barbell),32.5,7,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,5,Overhead Press (Seated Barbell),32.5,7,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,6,Seated Row (Machine) – Wide Grip,45,7,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,7,Seated Row (Machine) – Wide Grip,45,8,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,8,Lat Pulldown (Standard Bar),60,5,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,9,Lat Pulldown (Standard Bar),55,7,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,10,Leg Press,109,12,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,11,Leg Press,125,6,Working,
W20251206,06/12/2025,Slightly sick + sleep deprived,12,Leg Press,125,8,Working,
W20251211,11/12/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251211,11/12/2025,,2,Bench Press (Barbell),40,12,Warmup,
W20251211,11/12/2025,,3,Bench Press (Barbell),20,12,Warmup,
W20251211,11/12/2025,,4,Bench Press (Barbell),40,12,Warmup,
W20251211,11/12/2025,,5,Bench Press (Barbell),50,10,Working,
W20251211,11/12/2025,,6,Bench Press (Barbell),60,5,Working,
W20251211,11/12/2025,,7,Bench Press (Barbell),60,8,Working,
W20251211,11/12/2025,,8,Bench Press (Barbell),60,7,Working,
W20251211,11/12/2025,,9,Overhead Press (Seated Barbell),35,8,Working,
W20251211,11/12/2025,,10,Overhead Press (Seated Barbell),35,10,Working,
W20251211,11/12/2025,,11,Overhead Press (Seated Barbell),35,6,Working,
W20251211,11/12/2025,,12,Seated Row (Machine) – Wide Grip,50,7,Working,
W20251211,11/12/2025,,13,Seated Row (Machine) – Wide Grip,50,6,Working,
W20251211,11/12/2025,,14,Seated Row (Machine) – Wide Grip,50,8,Working,
W20251211,11/12/2025,,15,Lat Pulldown (Standard Bar),60,5,Working,
W20251211,11/12/2025,,16,Lat Pulldown (Standard Bar),50,10,Working,
W20251211,11/12/2025,,17,Lat Pulldown (Standard Bar),50,8,Working,
W20251211,11/12/2025,,18,Deadlift (Barbell),100,5,Warmup,
W20251211,11/12/2025,,19,Deadlift (Barbell),130,5,Working,
W20251211,11/12/2025,,20,Deadlift (Barbell),140,3,Working,
W20251211,11/12/2025,,21,Deadlift (Barbell),145,1,Ramp Single,
W20251211,11/12/2025,,22,Deadlift (Barbell),120,8,Backoff,
W20251211,11/12/2025,,23,Lateral Raise (Dumbbell),7,10,Working,
W20251211,11/12/2025,,24,Lateral Raise (Dumbbell),7,9,Working,
W20251211,11/12/2025,,25,Leg Press,117,12,Working,
W20251211,11/12/2025,,26,Leg Press,133,8,Working,
W20251211,11/12/2025,,27,Leg Press (High Foot),133,8,Working,
W20251212,12/12/2025,Light Volume,1,Leg Press,69,16,Working,
W20251212,12/12/2025,Light Volume,2,Leg Press,85,16,Working,
W20251212,12/12/2025,Light Volume,3,Leg Press,85,16,Working,
W20251212,12/12/2025,Light Volume,4,Adductor Machine,55,16,Working,
W20251212,12/12/2025,Light Volume,5,Adductor Machine,55,16,Working,
W20251212,12/12/2025,Light Volume,6,Abductor Machine,80,16,Working,
W20251212,12/12/2025,Light Volume,7,Abductor Machine,85,16,Working,
W20251212,12/12/2025,Light Volume,8,Chest Press (Machine),40,12,Working,
W20251212,12/12/2025,Light Volume,9,Chest Press (Machine),40,12,Working,
W20251212,12/12/2025,Light Volume,10,Chest Press (Machine),50,8,Working,
W20251212,12/12/2025,Light Volume,11,Leg Extension (Machine),35,12,Working,
W20251212,12/12/2025,Light Volume,12,Leg Extension (Machine),35,12,Working,
W20251212,12/12/2025,Light Volume,13,Leg Curl (Machine),35,12,Working,
W20251212,12/12/2025,Light Volume,14,Leg Curl (Machine),35,12,Working,
W20251212,12/12/2025,Light Volume,15,Biceps Curl (Barbell),25,9,Working,
W20251212,12/12/2025,Light Volume,16,Biceps Curl (Barbell),20,12,Working,
W20251212,12/12/2025,Light Volume,17,Biceps Curl (Barbell),15,16,Working,
W20251212,12/12/2025,Light Volume,18,Face Pull,30,12,Working,
W20251212,12/12/2025,Light Volume,19,Face Pull,30,12,Working,
W20251212,12/12/2025,Light Volume,20,Lateral Raise (Dumbbell),7,10,Working,
W20251212,12/12/2025,Light Volume,21,Lateral Raise (Dumbbell),7,10,Working,
W20251212,12/12/2025,Light Volume,22,Hanging Leg Raise,0,8,Working,
W20251212,12/12/2025,Light Volume,23,Tucked Lever (Rail),0,2,Working,
W20251213,13/12/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251213,13/12/2025,,2,Bench Press (Barbell),40,12,Warmup,
W20251213,13/12/2025,,3,Bench Press (Barbell),40,12,Warmup,
W20251213,13/12/2025,,4,Bench Press (Barbell),60,6,Working,
W20251213,13/12/2025,,5,Bench Press (Barbell),60,5,Working,
W20251213,13/12/2025,,6,Bench Press (Barbell),60,6,Working,
W20251213,13/12/2025,,7,Overhead Press (Seated Barbell),40,5,Working,
W20251213,13/12/2025,,8,Overhead Press (Seated Barbell),40,6,Working,
W20251213,13/12/2025,,9,Overhead Press (Seated Barbell),40,6,Working,
W20251213,13/12/2025,,10,T-Bar Row (Machine),30,6,Working,Plus bar
W20251213,13/12/2025,,11,T-Bar Row (Machine),30,8,Working,Plus bar
W20251213,13/12/2025,,12,T-Bar Row (Machine),35,6,Working,Plus bar
W20251213,13/12/2025,,13,T-Bar Row (Machine),35,8,Working,Plus bar
W20251213,13/12/2025,,14,Lat Pulldown (Standard Bar),55,8,Working,
W20251213,13/12/2025,,15,Lat Pulldown (Standard Bar),60,5,Working,
W20251213,13/12/2025,,16,Lat Pulldown (Standard Bar),60,5,Working,
W20251213,13/12/2025,,17,Chin-Up (Bodyweight),0,8,Working,
W20251213,13/12/2025,,18,Chin-Up (Bodyweight),0,5,Working,
W20251213,13/12/2025,,19,Deadlift (Barbell),90,12,Warmup,
W20251213,13/12/2025,,20,Deadlift (Barbell),130,5,Working,
W20251213,13/12/2025,,21,Deadlift (Barbell),130,6,Working,
W20251213,13/12/2025,,22,Deadlift (Barbell),130,5,Working,
W20251213,13/12/2025,,23,Deadlift (Barbell),130,4,Working,
W20251213,13/12/2025,,24,Leg Press,133,12,Working,
W20251213,13/12/2025,,25,Leg Press,149,5,Working,
W20251213,13/12/2025,,26,Leg Press,141,8,Working,
W20251215,15/12/2025,Light Volume,1,Leg Press,77,16,Working,
W20251215,15/12/2025,Light Volume,2,Leg Press,85,24,Working,
W20251215,15/12/2025,Light Volume,3,Leg Press,101,20,Working,
W20251215,15/12/2025,Light Volume,4,Leg Press,101,20,Working,
W20251215,15/12/2025,Light Volume,5,Adductor Machine,60,12,Working,
W20251215,15/12/2025,Light Volume,6,Adductor Machine,60,12,Working,
W20251215,15/12/2025,Light Volume,7,Abductor Machine,80,14,Working,
W20251215,15/12/2025,Light Volume,8,Abductor Machine,80,11,Working,
W20251215,15/12/2025,Light Volume,9,Chest Press (Machine),45,16,Working,
W20251215,15/12/2025,Light Volume,10,Chest Press (Machine),50,12,Working,
W20251215,15/12/2025,Light Volume,11,Seated Row (Machine) – Wide Grip,45,11,Working,
W20251215,15/12/2025,Light Volume,12,Seated Row (Machine) – Wide Grip,40,14,Working,
W20251215,15/12/2025,Light Volume,13,Leg Curl (Machine),35,10,Working,
W20251215,15/12/2025,Light Volume,14,Leg Curl (Machine),35,9,Working,
W20251215,15/12/2025,Light Volume,15,Leg Extension (Machine),35,12,Working,
W20251215,15/12/2025,Light Volume,16,Leg Extension (Machine),35,12,Working,
W20251215,15/12/2025,Light Volume,17,Biceps Curl (Barbell),18,12,Working,Felt easy?
W20251215,15/12/2025,Light Volume,18,Biceps Curl (Barbell),20,12,Working,
W20251215,15/12/2025,Light Volume,19,Biceps Curl (Barbell),20,6,Working,
W20251215,15/12/2025,Light Volume,20,Lateral Raise (Dumbbell),8,12,Working,
W20251215,15/12/2025,Light Volume,21,Lateral Raise (Dumbbell),8,12,Working,
W20251215,15/12/2025,Light Volume,22,Face Pull,30,11,Working,
W20251215,15/12/2025,Light Volume,23,Face Pull,25,14,Working,
W20251215,15/12/2025,Light Volume,24,Lat Pulldown (Standard Bar),40,14,Working,
W20251216,16/12/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251216,16/12/2025,,2,Bench Press (Barbell),30,12,Warmup,
W20251216,16/12/2025,,3,Bench Press (Barbell),40,12,Warmup,
W20251216,16/12/2025,,4,Bench Press (Barbell),55,6,Working,
W20251216,16/12/2025,,5,Bench Press (Barbell),55,9,Working,
W20251216,16/12/2025,,6,Bench Press (Barbell),60,6,Working,
W20251216,16/12/2025,,7,Bench Press (Barbell),55,6,Working,
W20251216,16/12/2025,,8,Overhead Press (Seated Barbell),35,6,Working,
W20251216,16/12/2025,,9,Chest-Supported Row (Machine),50,10,Working,
W20251216,16/12/2025,,10,Chest-Supported Row (Machine),50,10,Working,
W20251216,16/12/2025,,11,Chest-Supported Row (Machine),50,8,Working,
W20251216,16/12/2025,,12,Lat Pulldown (Standard Bar),55,5,Working,
W20251216,16/12/2025,,13,Lat Pulldown (Standard Bar),45,11,Working,
W20251218,18/12/2025,Deload/Volume,1,Bench Press (Barbell),20,12,Warmup,
W20251218,18/12/2025,Deload/Volume,2,Bench Press (Barbell),30,12,Warmup,
W20251218,18/12/2025,Deload/Volume,3,Bench Press (Barbell),40,12,Warmup,
W20251218,18/12/2025,Deload/Volume,4,Bench Press (Barbell),50,7,Working,
W20251218,18/12/2025,Deload/Volume,5,Bench Press (Barbell),45,7,Working,
W20251218,18/12/2025,Deload/Volume,6,Bench Press (Barbell),45,7,Working,"Reps unclear (""7/70"" interpreted as 7)"
W20251218,18/12/2025,Deload/Volume,7,Overhead Press (Seated Dumbbell),14,7,Working,
W20251218,18/12/2025,Deload/Volume,8,Overhead Press (Seated Dumbbell),12,9,Working,
W20251218,18/12/2025,Deload/Volume,9,Overhead Press (Seated Dumbbell),10,12,Working,
W20251218,18/12/2025,Deload/Volume,10,Lat Pulldown (Standard Bar),40,12,Warmup,
W20251218,18/12/2025,Deload/Volume,11,Lat Pulldown (Standard Bar),50,7,Working,
W20251218,18/12/2025,Deload/Volume,12,Assisted Pull-Up,-10,8,Working,
W20251218,18/12/2025,Deload/Volume,13,Assisted Pull-Up,-20,10,Working,Neutral grip
W20251218,18/12/2025,Deload/Volume,14,Seated Row (Machine) – Wide Grip,40,12,Working,
W20251218,18/12/2025,Deload/Volume,15,Seated Row (Machine) – Wide Grip,40,10,Working,
W20251218,18/12/2025,Deload/Volume,16,Biceps Curl (Barbell),15,16,Working,
W20251218,18/12/2025,Deload/Volume,17,Biceps Curl (Barbell),17.5,8,Working,
W20251218,18/12/2025,Deload/Volume,18,Face Pull,20,14,Working,
W20251218,18/12/2025,Deload/Volume,19,Face Pull,25,12,Working,
W20251218,18/12/2025,Deload/Volume,20,Lateral Raise (Dumbbell),5,12,Working,
W20251219,19/12/2025,Leg Day,1,Leg Press,85,12,Warmup,
W20251219,19/12/2025,Leg Day,2,Leg Press,101,12,Warmup,
W20251219,19/12/2025,Leg Day,3,Leg Press,117,12,Working,
W20251219,19/12/2025,Leg Day,4,Leg Press,133,12,Working,
W20251219,19/12/2025,Leg Day,5,Leg Press,141,12,Working,
W20251219,19/12/2025,Leg Day,6,Leg Press,157,5,Working,
